year,quarter,week_ending,hb,age_group,sex,admission_type,number_admissions,average20182019,percent_variation
2020,2,2020-06-07,S08000024,Under 5,All,All,71,148.5,-52.2
2020,2,2020-06-07,S08000029,Under 5,All,All,30,54.5,-45
2020,2,2020-06-07,S08000030,Under 5,All,All,39,68,-42.6
2020,2,2020-06-07,S08000031,Under 5,All,All,181,240.5,-24.7
2020,2,2020-06-07,S08000032,Under 5,All,All,106,150.5,-29.6
2020,2,2020-06-07,S92000003,Under 5,All,All,613,989.5,-38
2020,2,2020-06-14,S08000015,Under 5,All,All,48,84.5,-43.2
2020,2,2020-06-14,S08000016,Under 5,All,All,11,21,-47.6
2020,2,2020-06-14,S08000017,Under 5,All,All,14,34.5,-59.4
2020,2,2020-06-14,S08000019,Under 5,All,All,35,78.5,-55.4
2020,3,2020-09-06,S08000029,Under 5,All,All,33,60,-45
2020,3,2020-09-06,S08000030,Under 5,All,All,50,79.5,-37.1
2020,2,2020-06-14,S08000024,Under 5,All,All,68,135,-49.6
2020,2,2020-06-14,S08000029,Under 5,All,All,36,50,-28
2020,2,2020-06-14,S08000030,Under 5,All,All,41,68.5,-40.1
2020,2,2020-06-14,S08000031,Under 5,All,All,161,250,-35.6
2020,2,2020-06-14,S08000032,Under 5,All,All,123,167.5,-26.6
2020,2,2020-06-14,S92000003,Under 5,All,All,605,1011,-40.2
2020,2,2020-06-21,S08000015,Under 5,All,All,48,82.5,-41.8
2020,2,2020-06-21,S08000016,Under 5,All,All,6,17,-64.7
2020,2,2020-06-21,S08000017,Under 5,All,All,19,29.5,-35.6
2020,2,2020-06-21,S08000019,Under 5,All,All,26,80.5,-67.7
2020,2,2020-06-21,S08000020,Under 5,All,All,41,78,-47.4
2020,2,2020-06-21,S08000022,Under 5,All,All,27,40.5,-33.3
2020,2,2020-06-21,S08000024,Under 5,All,All,73,132,-44.7
2020,2,2020-06-21,S08000029,Under 5,All,All,34,47.5,-28.4
2020,2,2020-06-21,S08000030,Under 5,All,All,34,64.5,-47.3
2020,2,2020-06-21,S08000031,Under 5,All,All,184,253.5,-27.4
2020,2,2020-06-21,S08000032,Under 5,All,All,118,155.5,-24.1
2020,2,2020-06-21,S92000003,Under 5,All,All,611,983.5,-37.9
2020,2,2020-06-28,S08000015,Under 5,All,All,44,94,-53.2
2020,2,2020-06-28,S08000016,Under 5,All,All,11,18,-38.9
2020,2,2020-06-28,S08000017,Under 5,All,All,12,30,-60
2020,2,2020-06-28,S08000019,Under 5,All,All,30,62.5,-52
2020,2,2020-06-28,S08000020,Under 5,All,All,36,85,-57.6
2020,2,2020-06-28,S08000022,Under 5,All,All,29,39,-25.6
2020,2,2020-06-28,S08000024,Under 5,All,All,81,112.5,-28
2020,2,2020-06-28,S08000029,Under 5,All,All,36,60,-40
2020,2,2020-06-28,S08000030,Under 5,All,All,49,67.5,-27.4
2020,2,2020-06-28,S08000031,Under 5,All,All,165,233,-29.2
2020,2,2020-06-28,S08000032,Under 5,All,All,137,158.5,-13.6
2020,2,2020-06-28,S92000003,Under 5,All,All,632,961.5,-34.3
2020,3,2020-07-05,S08000015,Under 5,All,All,49,81.5,-39.9
2020,3,2020-07-05,S08000016,Under 5,All,All,9,19,-52.6
2020,3,2020-07-05,S08000017,Under 5,All,All,18,19,-5.3
2020,3,2020-07-05,S08000019,Under 5,All,All,27,79,-65.8
2020,3,2020-07-05,S08000020,Under 5,All,All,62,72.5,-14.5
2020,3,2020-07-05,S08000022,Under 5,All,All,37,40,-7.5
2020,3,2020-07-05,S08000024,Under 5,All,All,70,124,-43.5
2020,3,2020-07-05,S08000029,Under 5,All,All,31,62,-50
2020,3,2020-07-05,S08000030,Under 5,All,All,48,59.5,-19.3
