year,quarter,week_ending,hb,simd_quintile,admission_type,number_admissions,average20182019,percent_variation
2020,1,2020-02-16,S08000022,1,All,85,89.5,-5
2020,1,2020-02-16,S08000022,2,All,171,163.5,4.6
2020,1,2020-02-16,S08000022,3,All,273,267.5,2.1
2020,1,2020-02-16,S08000022,4,All,211,186.5,13.1
2020,1,2020-02-16,S08000022,5,All,45,52.5,-14.3
2020,1,2020-02-16,S08000024,1,All,350,370,-5.4
2020,1,2020-02-16,S08000024,2,All,555,536,3.5
2020,1,2020-02-16,S08000024,3,All,393,368,6.8
2020,1,2020-02-16,S08000024,4,All,422,374,12.8
2020,1,2020-02-16,S08000024,5,All,491,466,5.4
2020,1,2020-02-16,S08000025,2,All,7,7.5,-6.7
2020,1,2020-02-16,S08000025,3,All,6,6,0
2020,1,2020-02-16,S08000025,4,All,15,23,-34.8
2020,1,2020-02-16,S08000026,2,All,5,4.5,11.1
2020,1,2020-02-16,S08000026,3,All,14,15.5,-9.7
2020,1,2020-02-16,S08000026,4,All,23,18.5,24.3
2020,1,2020-02-16,S08000028,2,All,13,19,-31.6
2020,1,2020-02-16,S08000028,3,All,58,70.5,-17.7
2020,1,2020-02-16,S08000029,1,All,252,270,-6.7
2020,1,2020-02-16,S08000029,2,All,233,242,-3.7
2020,1,2020-02-16,S08000029,3,All,178,184,-3.3
